reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
588c0937-2191-4e5c-bc48-8d6cbc63e701,Opick Elschild,https://play-lh.googleusercontent.com/a-/AD_cMMQADbhu796A_jC0ARE5caf2Z1BOrG3SoDefP-4Xg8QKAnQ,"Pelayanan, kecepatan pengiriman sangat sangat buruk. Masa pengiriman satu kota 5 hari belum sampai sampai sampe 3x ada acara pengiriman tertahan. Padahal selama lama nya ekspedisi sebelah gak pernah sampai kaya gini, Kapok pake jnt cukup terakhir kali. Kalo ada fitur kasi bintang minus kasih minus 1000.",1,366,3.22.3,2023-05-15 18:10:23,,,3.22.3
ac1d5839-d42b-4350-be0c-591849456e0c,Hendra Mahendra,https://play-lh.googleusercontent.com/a/AAcHTtcrgouXhwuGMBwZah2x-pyhJLsx7heGJmadeyKxnByy=mo,"Ini JNT kenapa kok makin aneh, paket sudah sampai 2harian di kampung tapi tidak di antar"". Keterangan saja d antar tapi tidak ada datang sama sekali. Berdalih nomor tidak bisa d hubungi padahal hp tidak pernah mati. Tolong pusat di kontrol lg. Saya tidak akan up bintang sampai semua masalah di perbaiki. Terimakasih 🙏",1,518,3.22.3,2023-04-21 16:48:19,,,3.22.3
5cddbe9f-87c6-42c8-bd67-4ffe500b05a1,Berlan Daniel,https://play-lh.googleusercontent.com/a-/AD_cMMTsXCE7UNGZkfUKDEXf-ByHoeTWCTYKoUWWAQbel9nXRQ,"Tolong ya untuk kurir daerah BAGAN BATU SEKITARNYA itu banyak yg gak becus, barang tidak di antar sampai alamat malah di suruh jemput, kebanyakan kurir disini mangkal nunggu yg punya barang menjemput, mereka tidak mengantar. Saya sudah 4 kali pesan barang dan selalu di suruh jemput paketnya tidak di antarkan. Respon kurir sangat tidak baik. TOLONG DENGAN SANGAT KURIR DI DAERAH BAGANBATU SEKITARNYA INI DI TEGUR!!!! Terimakasih.",1,12,3.22.3,2023-06-27 08:37:32,,,3.22.3
45367845-2d33-4ae7-a12a-a4e04d7d110a,Sonia,https://play-lh.googleusercontent.com/a/AAcHTtfFrWkPSjl1IFstk8waB0N7M3GSqctnSUzcYWL1EFyQ=mo,Pelayanan sangat buruk. Untuk para kurir² yg tidak mau mengantarkan paket sampai didepan rumah dan menunggu para costumer untuk menjemput paket didesa sebelah/ditempat lain. Jika paketan dijemput lama maka mereka meninggalkan paket ditempat tersebut yg mengakibatkan terjadinya paket hilang atau di return tanpa adanya konfirmasi. Jadi apa gunanya alamat asli yg sudah tertera di app tersebut. Mohon untuk pihakjnt diperbaikin lagi kinerja kerja nya agar para costumer puas dgn pelayanannya🙏🏻,1,16,3.22.3,2023-06-23 09:55:20,,,3.22.3
307011f6-3f48-47b8-a3ac-3d5620dda747,HNS 05,https://play-lh.googleusercontent.com/a/AAcHTteg3Zo8bsePggsAB9g6R1wLZ_WjlrJj9p2TuMVjDIML=mo,"jnt sekarang bner2 kacau sihh. Udah gak seneng menggunakan jasa kirim jnt. Selain lama. Kadang kurirnya gak amanah. Paket belum nyampe tapi status udah nyampe. Akhirnya kita kerepotan harus nanya sana sini. Mending ada konfirmasi, ini gak ada sama sekali. Pokoknya jasa kirim ter ngaret saat ini ya jnt .",1,2,3.22.3,2023-07-04 15:32:13,,,3.22.3
a9c08c6e-742c-4404-8d08-5b639a0df5a6,Anjeli Yolaanjeli,https://play-lh.googleusercontent.com/a-/AD_cMMRR0EGTJPobgUN90mffnEBKhVg2NkDBPYr6h82ad_6O4M8,"Tolong di monitor lagi untuk layanan pick up nya !!! saya disuruh tunggu dari pagi loh ,katanya paling lambat jam 9 malam dijemput, eh sampe udah tutup gk di ambil2,pdhal order saya cuma dokumen bukan barang, itupun 3 dokumen bukan hanya 1, bisa2 nya di sepele in. Ini sudah kedua kalinya loh, why??admin ny sgt slow respon, mengecewakan. Gausah kasih layanan pick up klo gk mampu handle !",1,9,3.22.3,2023-06-25 20:48:25,,,3.22.3
141afee3-896a-4d4e-87a4-d8432bb49f57,Arief P.K,https://play-lh.googleusercontent.com/a-/AD_cMMSWgxY2EzMfVw3n4_geyA9K17_HuF2bAFwJr-b8OQMiuX0,"Pelayanan sangat buruk, mau jemput barang di buat bingung cari kesana kesini. Ujung-ujungnya ga ada di gudang jnt padahal pesan barang dari tgl 10 masa iya estimasi kedatangan 22-27. Sedangkan barang udah nyampe lokasi kota udah selesai transit. Mau heran malah tidak ada kejelasan, yg di salahkan pihak penerima. Barang kok di bawa putar² cargo.",1,67,3.22.3,2023-04-20 15:31:42,,,3.22.3
87ec2f7d-d430-40f6-b860-16366262c488,kandi pratiwi,https://play-lh.googleusercontent.com/a/AAcHTteCqlm5NpnP1SVfH54gzuBwGm0OIqA5Q27nCy-fDUvP=mo,"Terakhir kalinya pakai JNT. Makenya jg karna terpaksa karena itu yg terdekat dan tidak memungkinkan cari ekspedisi lain. Gabakal pake lagi sekalipun terpaksa. Ekspedisi pengiriman barang terburuk. Saya kirim barang dengan biaya yg cukup mahal (200rb untuk dalam Jawa karena dihitung volume) dan sudah sampai ke DC yg sangat dekat dr kos per 1 Mei, tp barang tidak diantarkan sampai tgl 4 Mei. Setelah menghubungi CS, barang blm dibongkar dr kontainer. Sebenernya kalian kerja gasih?",1,52,3.22.3,2023-05-04 02:10:23,,,3.22.3
81163855-b4d9-4631-8346-b9e11e2c07b7,Dewi Aprilia,https://play-lh.googleusercontent.com/a-/AD_cMMSshitGw5gFdd0NHCOWS-dV5JqEL3kqfnbN1HO3hkp2Nyg,"Pelayanan sangat sangat buruk. Paket saya dinyatakan hilang pddal saya beli masih satu provinsi! Hanya dikirim lintas kabupaten dan itu jaraknya berdekatan kota dan kabupaten nya,tapi sejak tanggal 13 sampai sekarang tidak sampai malah dinyatakan hilang. Pelayanan macam apa ini, kalau tau setiap menjelang lebaran akan overload, ya diperbaiki lah sistem nya, di tambah juga pekerja nya.Bukan masalah berapa nominalnya, tapi masalahnya jasa ekspedisi sudah sebesar ini tidak mampu menangani overload",1,123,3.22.3,2023-04-29 05:21:59,,,3.22.3
c5150cc7-93bf-494a-acaa-e55977b2f179,Iis Sri Mulyani,https://play-lh.googleusercontent.com/a-/AD_cMMR0zkzUg3jNewt0R0rE2vqzsW_zoNe7Gbdx5GkLdVTHqmQT,Hallo jnt yg terhormat tolong baca pesan saya. Sudah beberapa kali saya email dan hubungi nomor jnt tidak ada jawaban. Paket saya sudah tertahan 6hari di dc cikupa. Tapi keterangan nya sudah 100% terkirim. Tiap hari komplain tidak ada perubahan masih blm terkirim ke alamat yg ditertera di resi. Di ambil ke dc nya gak bisa. Trs maunya apa sii. Bukan gak ngertiin paket yg overload tapi lebih ditingkatkan lagi sistem nya. Kalau sistem nya bagus pasti paket akan terkirim gak akan mandet lama2.,1,55,3.22.3,2023-04-17 08:52:23,,,3.22.3
